time/fps,rollout/episodes,time/time_elapsed,time/total_timesteps,time/iterations,train/policy_gradient_loss,train/value_loss,train/learning_rate,train/clip_fraction,train/approx_kl,train/n_updates,train/explained_variance,train/entropy_loss,train/clip_range,train/loss,eval/mean_ep_length,eval/mean_reward,eval/success_rate,rollout/ep_rew_mean,rollout/win_rate_true_start,rollout/fill_mean_true_start,rollout/ep_len_mean,rollout/fill_mean,rollout/success_rate
14715,0,1193,17563648,67,-1.0121829745912692e-05,0.011662565491860732,2.2143232000000003e-05,0.0001697540283203125,1.301612e-06,264,0.9290767908096313,-0.002712413041081163,0.05674624,0.0061151692643761635,,,,,,,,,
14837,0,1201,17825792,68,-1.358011604679632e-05,0.011763287628127728,2.0963583999999993e-05,0.00014400482177734375,9.473841e-07,268,0.9296771883964539,-0.0025436962241656147,0.05609088,0.005773685872554779,,,,,,,,,
14960,0,1209,18087936,69,-1.3673514331458136e-05,0.011983315991528798,1.9783935999999997e-05,0.0001735687255859375,1.2805283e-06,272,0.927655041217804,-0.0025775741414690856,0.05543552,0.006248650141060352,,,,,,,,,
15079,0,1216,18350080,70,-1.26749350783939e-05,0.012371343516861089,1.8604288e-05,0.000186920166015625,1.8924176e-06,276,0.9266937375068665,-0.002661272459590691,0.05478016,0.005945434793829918,,,,,,,,,
15198,0,1224,18612224,71,-1.605792226655467e-05,0.0124492347240448,1.7424640000000005e-05,0.0001964569091796875,1.4406868e-06,280,0.9265941977500916,-0.0026407283348817145,0.0541248,0.005408525466918945,,,,,,,,,
,,,18874368,,-1.7391752408002503e-05,0.012026078773487825,1.6244991999999996e-05,0.0002117156982421875,1.5376913e-06,284,0.9279016256332397,-0.0026769301148306113,0.05346944000000001,0.006038484163582325,16218.35,248.76463317871094,1.0,,,,,,
14370,0,1313,18874368,72,,,,,,,,,,,,,,,,,,,
14486,0,1321,19136512,73,-2.1553221358772134e-05,0.012088965908333194,1.5065344e-05,0.00024700164794921875,1.9045729e-06,288,0.9266407489776611,-0.0028561630788317416,0.052814080000000006,0.006388835608959198,,,,,,,,,
14599,1,1328,19398656,74,-1.9330911527504213e-05,0.012274932247237302,1.388569599999999e-05,0.00022220611572265625,1.4968747e-06,292,0.9261977672576904,-0.0029191638041083934,0.05215872,0.006146571598947048,,,,42.284236907958984,0.0,0.19140625,4718.0,0.19140625,0.0
14709,0,1336,19660800,75,-2.015885502260062e-05,0.011969052095082588,1.2706047999999995e-05,0.00020885467529296875,1.3793917e-06,296,0.9272552728652954,-0.002772843874481623,0.05150336,0.005813875235617161,,,,42.284236907958984,,,4718.0,,0.0
14819,0,1344,19922944,76,-1.664135879764217e-05,0.012042423579259776,1.1526399999999999e-05,0.00013828277587890625,7.9279556e-07,300,0.9271762371063232,-0.0027195549573661992,0.050848000000000004,0.0059564486145973206,,,,42.284236907958984,,,4718.0,,0.0
14930,0,1351,20185088,77,-1.4949018350307597e-05,0.01222713316383306,1.0346752000000003e-05,0.000217437744140625,9.781488e-07,304,0.9267762899398804,-0.0026523715132498182,0.050192640000000004,0.006260821595788002,,,,42.284236907958984,,,4718.0,,0.0
