time/total_timesteps,curriculum/frontier,time/iterations,time/time_elapsed,rollout/episodes,curriculum/success_rate,time/fps,train/clip_range,train/explained_variance,train/approx_kl,train/value_loss,train/loss,train/learning_rate,train/clip_fraction,train/entropy_loss,train/n_updates,train/policy_gradient_loss,rollout/win_rate_true_start,rollout/fill_mean,rollout/fill_mean_true_start,rollout/ep_rew_mean,rollout/success_rate,rollout/ep_len_mean,eval/mean_ep_length,eval/success_rate,eval/mean_reward
6553600,,,,,,,0.16788736,0.8976784944534302,0.0014443318,2.0144897680729628,0.9466742277145386,0.00023791556266666665,0.021087646484375,-0.21910229977220297,195,-0.0011613156475505093,,,,,,,180.76,0.0,41.5602912902832
6553600,80,50,124,1837,0.8164812942366027,52440,,,,,,,,,,,0.0,0.905273627828518,0.5360913373912445,15.702659606933594,0.62,68.35,,,
6684672,80,51,127,1774,0.8175640355462624,52502,0.167232,0.9075950384140015,0.0014997968,1.8941649608314037,0.9035077095031738,0.0002366485333333333,0.022325515747070312,-0.22409688821062446,199,-0.0011340168275637552,0.0,0.9011093017105795,0.5327793167128346,18.525135040283203,0.69,75.88,,,
6815744,80,52,129,1855,0.8397337429595494,52532,0.16657664,0.9057549834251404,0.001647258,1.8262102771550417,0.8854047060012817,0.000235381504,0.02173614501953125,-0.22010087524540722,203,-0.0013794767528452212,0.0,0.8948986722571628,0.5322154658804742,18.950332641601562,0.63,80.68,,,
6946816,80,53,132,1893,0.8335809806835067,52553,0.16592128,0.9034268856048584,0.0021486543,1.8400957863777876,0.9082979559898376,0.00023411447466666665,0.030101776123046875,-0.20833416073583066,207,-0.0005464969872264192,0.0,0.9040650088369758,0.5333729451376511,17.22454071044922,0.68,66.47,,,
7077888,80,54,134,1877,0.8411677387431964,52576,0.16526592,0.9021743535995483,0.0015083639,1.9599558617919683,0.926844596862793,0.0002328474453333333,0.023342132568359375,-0.2020532600581646,211,-0.0008032312125578756,0.0,0.9085683090300387,0.5361700651962825,16.191879272460938,0.67,69.13,,,
7208960,80,55,137,1898,0.8384086444007859,52595,0.16461056000000002,0.902677059173584,0.00148841,1.8376849498599768,0.8634235858917236,0.000231580416,0.02327728271484375,-0.19555422966368496,215,-0.0009745043262228137,0.0,0.9067699592813747,0.5303526362458222,16.03713607788086,0.72,63.87,,,
7340032,80,56,139,1794,0.8433797011849562,52582,0.16395520000000002,0.9027067422866821,0.0014126919,1.9465238153934479,0.9347261786460876,0.00023031338666666665,0.020931243896484375,-0.20046965964138508,219,-0.001060278465047304,0.0,0.903209601277234,0.5238694785436995,16.77252960205078,0.65,68.48,,,
7471104,80,57,141,1803,0.8592783505154639,52641,0.16329984,0.9041544795036316,0.0015707053,1.8736307471990585,0.9178537726402283,0.0002290463573333333,0.021543502807617188,-0.20217578136362135,223,-0.001247155298187863,0.0,0.9011729422156488,0.5221235928306636,16.44952964782715,0.69,61.48,,,
7602176,80,58,144,1899,0.8447420634920635,52654,0.16264447999999998,0.9053239226341248,0.0015983372,1.8122980799525976,0.8363193869590759,0.00022777932799999997,0.025625228881835938,-0.19937411951832473,227,-0.000878826260304777,0.0,0.9038285257347922,0.53795571027947,16.519989013671875,0.69,61.02,,,
7733248,80,59,146,1795,0.8418891170431212,52686,0.16198912000000001,0.9050958752632141,0.0018536613,1.8595417328178883,0.9062985777854919,0.00022651229866666665,0.025890350341796875,-0.1946134096942842,231,-0.0005524140542547684,0.0,0.9073764572371814,0.537161561176931,18.057762145996094,0.68,73.25,,,
7864320,,,,,,,0.16133376,0.9140469431877136,0.0019416744,1.7261471766978502,0.8413695693016052,0.0002252452693333333,0.027379989624023438,-0.2009478125255555,235,-0.0007641376869287342,,,,,,,176.26,0.0,40.50477981567383
7864320,80,60,150,1770,0.8419117647058824,52210,,,,,,,,,,,0.0,0.9005789216712003,0.5340012143290831,18.661314010620117,0.6,79.7,,,
7995392,80,61,153,1786,0.8443743427970557,52231,0.1606784,0.9071882367134094,0.0019097674,1.753298845142126,0.8599061965942383,0.00022397824000000002,0.026592254638671875,-0.19422533479519188,239,-0.0010176310424867552,0.0,0.8949856911783003,0.5262024176954733,17.51978302001953,0.68,71.23,,,
8126464,80,62,155,1896,0.8681977034448327,52265,0.16002304,0.9054639935493469,0.0018208539,1.854642704129219,0.8584896326065063,0.00022271121066666668,0.0258941650390625,-0.18579721776768565,243,-0.0012523197401606012,0.0,0.8999778611241339,0.5292935004555022,18.165252685546875,0.72,75.76,,,
8257536,80,63,157,1785,0.8771573604060914,52294,0.15936768,0.9088175296783447,0.0024552066,1.7775707803666592,0.9053182601928711,0.00022144418133333333,0.03119659423828125,-0.18200304615311325,247,-0.0006801968829677207,0.0,0.9151295085935609,0.5335292964922594,16.006446838378906,0.75,64.56,,,
8388608,80,64,160,1817,0.871377732587697,52328,0.15871232000000002,0.9162248373031616,0.0019440798,1.5859920773655176,0.7640202045440674,0.000220177152,0.02719879150390625,-0.18339165532961488,251,-0.000954861077843816,0.0,0.9064663636301868,0.527336860670194,16.57491111755371,0.77,66.1,,,
8519680,80,65,162,1883,0.8637939574046558,52357,0.15805696,0.9104307293891907,0.0023707931,1.7066614627838135,0.8585546016693115,0.00021891012266666665,0.038784027099609375,-0.18344946042634547,255,0.00023078891899785958,0.0,0.9066370317919266,0.5307624474291142,19.358226776123047,0.62,82.79,,,
8650752,80,66,165,1783,0.8627145085803433,52368,0.1574016,0.9100320935249329,0.0019711235,1.7656519282609224,0.8948838114738464,0.0002176430933333333,0.03631782531738281,-0.18334633531048894,259,0.0002914193446486024,0.0,0.9022039425853222,0.5284293552812072,16.87453842163086,0.74,66.47,,,
8781824,80,67,167,1766,0.871375856615709,52382,0.15674624,0.911163330078125,0.0023529902,1.7737877145409584,0.8144487142562866,0.00021637606399999996,0.03122711181640625,-0.18167350720614195,263,-0.0006895128371979808,0.0,0.8997385456426603,0.5312991401518953,18.83944320678711,0.69,81.57,,,
8912896,80,68,170,1801,0.8691830403309204,52394,0.15609088000000002,0.9145210385322571,0.0029758739,1.6909572631120682,0.8653252720832825,0.00021510903466666668,0.03713417053222656,-0.1829578671604395,267,-0.0005706314877897967,0.0,0.9004873835523475,0.5245736199414673,17.346311569213867,0.67,74.7,,,
9043968,80,69,172,1893,0.8655834564254062,52376,0.15543552,0.9107679128646851,0.0022303036,1.7518305461853743,0.8543543815612793,0.00021384200533333333,0.034572601318359375,-0.18013470526784658,271,-0.0003411895941098919,0.0,0.908167191667808,0.5326035059000068,18.549592971801758,0.71,71.42,,,
9175040,,,,,,,0.15478016,0.9122849106788635,0.0026045304,1.7159148510545492,0.8094964623451233,0.000212574976,0.03658485412597656,-0.17495149443857372,275,-0.00015505426745221484,,,,,,,178.57,0.0,40.58247375488281
9175040,80,70,176,1758,0.8746736292428199,51958,,,,,,,,,,,0.0,0.9070492563097796,0.5362631825216859,17.893230438232422,0.68,77.78,,,
9306112,80,71,179,1794,0.8723404255319149,51942,0.1541248,0.9182867407798767,0.0025561335,1.6070286072790623,0.7752997279167175,0.00021130794666666665,0.036617279052734375,-0.17798006115481257,279,-0.0008234415581682697,0.0,0.9027072408714921,0.5355737208598244,17.839981079101562,0.66,71.03,,,
9437184,80,72,181,1909,0.8622549019607844,51949,0.15346943999999998,0.9161214828491211,0.0044179405,1.696575839072466,0.8374413847923279,0.0002100409173333333,0.03845977783203125,-0.17711576470173895,283,-0.00018590518720884575,0.0,0.9086781910249695,0.5403994780688547,17.950082778930664,0.66,70.93,,,
9568256,80,73,184,1847,0.8634517766497461,51983,0.15281408000000002,0.9180103540420532,0.0020661424,1.6496613752096891,0.8403119444847107,0.000208773888,0.04031181335449219,-0.1766758996527642,287,0.0005515997481779777,0.0,0.9010407267039644,0.5273275043389987,19.46288299560547,0.68,78.13,,,
9699328,80,74,186,1907,0.8624443344878773,52009,0.15215872,0.9149381518363953,0.0027748,1.740126920863986,0.8710271120071411,0.00020750685866666665,0.03397560119628906,-0.17955337814055383,291,-0.0009315289653386571,0.0,0.9028271410722032,0.5330071003646133,19.80062484741211,0.61,80.39,,,
9830400,80,75,188,1851,0.868671679197995,52027,0.15150336,0.907649576663971,0.0022886829,1.808725280687213,0.89796382188797,0.00020623982933333333,0.03524971008300781,-0.17144155385904014,295,-0.0001956156029336853,0.0,0.9077508987467569,0.5321473158551809,17.34354019165039,0.73,67.47,,,
