time/iterations,curriculum/success_rate,rollout/episodes,curriculum/frontier,time/fps,time/total_timesteps,time/time_elapsed,train/clip_fraction,train/clip_range,train/explained_variance,train/value_loss,train/approx_kl,train/learning_rate,train/policy_gradient_loss,train/entropy_loss,train/n_updates,train/loss,rollout/fill_mean,rollout/success_rate,rollout/win_rate_true_start,rollout/ep_rew_mean,rollout/fill_mean_true_start,rollout/ep_len_mean,eval/mean_ep_length,eval/mean_reward,eval/success_rate
54,0.4780658025922233,1877,255,33693,14155776,420,0.15311686197916666,0.179159552,0.897486686706543,2.4305004278818765,0.03564757,0.0002597084672,0.017206238272289436,-0.4046121637026469,154,1.253525972366333,0.8608734017048482,0.42,0.0,24.03213882446289,0.36607142857142855,128.9,,,
55,0.494667343829355,1825,255,33640,14417920,428,0.09334278106689453,0.17876633600000003,0.8954591155052185,2.308030726388097,0.00738455,0.0002589482496,-0.0010312374797649682,-0.41221712762489915,158,1.1041510105133057,0.862900256849315,0.44,0.0,21.678794860839844,0.36657303370786515,112.24,,,
,,,,,14680064,,0.1464564732142857,0.17837312000000002,0.9112296104431152,2.026622714315142,0.026240788,0.000258188032,0.007198884777192559,-0.40777298297200887,160,0.9702785015106201,,,,,,,579.63,97.09159851074219,0.0
56,0.5074866310160427,1678,255,33473,14680064,438,,,,,,,,,,,0.8683840509535161,0.44,0.0,29.577062606811523,0.3564453125,163.99,,,
57,0.5517241379310345,1684,255,33704,14942208,443,0.1244040096507353,0.177979904,0.9020386338233948,2.126600097207462,0.013824122,0.0002574278144,0.007628212093978244,-0.40126291969243216,161,1.0196651220321655,0.8639724985154394,0.46,0.0,30.183576583862305,0.3638409870426829,167.49,,,
58,0.5760571114772103,1659,255,33624,15204352,452,0.09610557556152344,0.177586688,0.8962981104850769,2.0197421070188284,0.0071314382,0.00025666759679999996,-0.00034309130751353223,-0.39160026027821004,165,0.9727928042411804,0.8606629558468957,0.43,0.0,30.574411392211914,0.3701229659763314,166.65,,,
59,0.6144329896907217,1834,255,33724,15466496,458,0.1003024193548387,0.17719347200000002,0.8822321891784668,2.2038585774360167,0.009998808,0.0002559073792,0.0034263533701549376,-0.38474919286466414,167,1.0666700601577759,0.8572003646401308,0.55,0.0,21.490406036376953,0.3817615799492386,100.63,,,
60,0.6185671039354188,1909,255,33958,15728640,463,0.13092041015625,0.17680025600000002,0.8678919672966003,3.099696922302246,0.01869235,0.0002551471616,0.010594484815374016,-0.3771373391151428,168,1.5033923387527466,0.8499746267679413,0.43,0.0,31.122394561767578,0.3753384806791569,168.66,,,
61,0.6317567567567568,1985,255,33940,15990784,471,0.10567541289747807,0.17640704000000001,0.8837698101997375,2.297219487658718,0.019917065,0.00025438694399999997,0.0017460286443677258,-0.3759964811697341,172,1.0400242805480957,0.862509839420655,0.38,0.0,27.779199600219727,0.38651066888619856,151.86,,,
62,0.6284230406043437,2021,255,34090,16252928,476,0.10276442307692307,0.176013824,0.8783944249153137,2.6282938627096324,0.01744636,0.00025362672639999995,0.005367157721103957,-0.37043025096257526,174,1.19512140750885,0.8655619897328055,0.6,0.0,26.278608322143555,0.3762406947890819,122.43,,,
