time/fps,time/total_timesteps,time/time_elapsed,rollout/episodes,time/iterations,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,rollout/win_rate_true_start,train/value_loss,train/n_updates,rollout/fill_mean,train/clip_range,train/explained_variance,rollout/ep_rew_mean,train/loss,train/approx_kl,rollout/success_rate,rollout/ep_len_mean,rollout/fill_mean_true_start,train/clip_fraction,eval/mean_reward,eval/success_rate,eval/mean_ep_length
37300,1409024,37,885,43,-0.29940648283809423,-0.0010479736010893248,0.000220177152,0.7367231638418079,5.823233470320702,168,0.9641949152542373,0.15871232000000002,0.41172367334365845,22.114887237548828,2.8673651218414307,0.0017581426,0.78,36.11,0.9641949152542373,0.017120361328125,,,
37346,1441792,38,893,44,-0.29284314531832933,-0.0011125082746730186,0.000218276608,0.7178051511758119,5.909881457686424,172,0.9595464725643897,0.15772928,0.42098867893218994,21.684206008911133,2.9068140983581543,0.0024633314,0.76,36.79,0.9595464725643897,0.02176666259765625,,,
37373,1474560,39,887,45,-0.29309672489762306,-0.0012948999647051096,0.00021637606399999996,0.7485907553551296,6.3573883175849915,176,0.9652621195039459,0.15674624,0.42365044355392456,21.55508041381836,3.2121341228485107,0.002784161,0.75,35.92,0.9652621195039459,0.038665771484375,,,
37345,1507328,40,882,46,-0.2908890638500452,-0.0013122938617016189,0.00021447551999999998,0.7448979591836735,5.6627398282289505,180,0.9668367346938775,0.1557632,0.4405299425125122,21.923168182373047,2.8291304111480713,0.0025451393,0.77,37.83,0.9668367346938775,0.03295135498046875,,,
37401,1540096,41,902,47,-0.28358306363224983,-0.001141109794843942,0.000212574976,0.7660753880266076,5.731951907277107,184,0.9641075388026608,0.15478016,0.4482705593109131,21.204015731811523,2.754823923110962,0.0024879081,0.72,36.98,0.9641075388026608,0.0327911376953125,,,
37425,1572864,42,898,48,-0.2842884287238121,-0.00098928133957088,0.000210674432,0.7505567928730512,5.626303493976593,188,0.9665924276169265,0.15379712,0.4279376268386841,22.213665008544922,3.040269613265991,0.0018491434,0.79,37.33,0.9665924276169265,0.02243804931640625,,,
37448,1605632,42,880,49,-0.28158252593129873,-0.001083266964997165,0.000208773888,0.7579545454545454,5.711370125412941,192,0.9677556818181818,0.15281408000000002,0.43647605180740356,22.44345474243164,2.788484811782837,0.0019136355,0.81,37.54,0.9677556818181818,0.02474212646484375,,,
,1638400,,,,-0.2750613437965512,-0.0012144200190959964,0.00020687334399999998,,5.569181263446808,196,,0.15183104,0.44390225410461426,,2.7891383171081543,0.002071886,,,,0.02374267578125,21.59288787841797,0.75,38.08
37134,1638400,44,917,50,,,,0.7666303162486369,,,0.965717011995638,,,21.87450408935547,,,0.77,36.49,0.965717011995638,,,,
37176,1671168,44,899,51,-0.2738689137622714,-0.0007896152601460926,0.0002049728,0.7552836484983315,5.727614462375641,200,0.9682285873192435,0.150848,0.442674458026886,21.21472930908203,2.942171096801758,0.0018747828,0.71,36.27,0.9682285873192435,0.0289764404296875,,,
37229,1703936,45,885,52,-0.2734556011855602,-0.0013386842765612528,0.000203072256,0.7728813559322034,5.714714661240578,204,0.9676553672316384,0.14986496,0.45878171920776367,22.485492706298828,2.7921032905578613,0.002284302,0.82,35.5,0.9676553672316384,0.03157806396484375,,,
37283,1736704,46,887,53,-0.2710215197876096,-0.001136966842750553,0.00020117171199999996,0.7779030439684329,5.497001275420189,208,0.969771702367531,0.14888192,0.4554683566093445,22.464393615722656,2.7142632007598877,0.002452175,0.81,36.6,0.969771702367531,0.03469085693359375,,,
37317,1769472,47,897,54,-0.2680910173803568,-0.0011056163421017118,0.00019927116799999998,0.7513935340022296,5.277519077062607,212,0.9650919732441472,0.14789888,0.47048598527908325,21.58514976501465,2.6139795780181885,0.0023511797,0.75,35.85,0.9650919732441472,0.03984832763671875,,,
37335,1802240,48,892,55,-0.26904553454369307,-0.0009452978920307942,0.000197370624,0.765695067264574,5.806692570447922,216,0.968820067264574,0.14691584000000002,0.4563841223716736,21.564367294311523,2.7467539310455322,0.0016810604,0.75,36.63,0.968820067264574,0.02843475341796875,,,
37379,1835008,49,903,56,-0.263420594856143,-0.0011439928130130284,0.00019547008,0.7718715393133998,5.495085567235947,220,0.9678848283499446,0.1459328,0.47424960136413574,21.95404815673828,2.6388044357299805,0.002843096,0.77,36.95,0.9678848283499446,0.03279876708984375,,,
37393,1867776,49,901,57,-0.26316916663199663,-0.0013882642015232705,0.00019356953599999996,0.7857935627081021,5.46816685795784,224,0.9694089900110988,0.14494975999999998,0.47617191076278687,21.77474594116211,2.7108728885650635,0.0016687493,0.76,36.25,0.9694089900110988,0.02978515625,,,
37405,1900544,50,908,58,-0.2598719475790858,-0.0011074304493376985,0.000191668992,0.788546255506608,5.354870647192001,228,0.9701954845814978,0.14396672,0.47299128770828247,21.925195693969727,2.692593812942505,0.001727124,0.77,35.8,0.9701954845814978,0.0288543701171875,,,
37422,1933312,51,928,59,-0.259869153611362,-0.0012945417693117633,0.000189768448,0.7898706896551724,5.351239696145058,232,0.9697602370689655,0.14298368,0.47422879934310913,21.285707473754883,2.7440242767333984,0.002096021,0.73,35.29,0.9697602370689655,0.03514862060546875,,,
,1966080,,,,-0.2542733894661069,-0.0005488547903951257,0.00018786790399999997,,5.441597789525986,236,,0.14200063999999998,0.47965049743652344,,2.784128189086914,0.0025275627,,,,0.046661376953125,23.537508010864258,0.89,33.49
37159,1966080,52,893,60,,,,0.7928331466965286,,,0.9722844344904815,,,22.345224380493164,,,0.8,35.77,0.9722844344904815,,,,
37167,1998848,53,932,61,-0.2542557967826724,-0.0009152193997579161,0.00018596736,0.7650214592274678,4.982875511050224,240,0.9678782188841202,0.1410176,0.49386364221572876,22.275468826293945,2.2919163703918457,0.0015691933,0.8,35.53,0.9678782188841202,0.02332305908203125,,,
37202,2031616,54,904,62,-0.25214730808511376,-0.0010700906204874627,0.00018406681600000003,0.8086283185840708,5.70005589723587,244,0.9738661504424779,0.14003456,0.4857938289642334,22.714597702026367,2.8633246421813965,0.0018208413,0.83,36.4,0.9738661504424779,0.03487396240234375,,,
37228,2064384,55,915,63,-0.2487419149838388,-0.0010104253815370612,0.000182166272,0.7967213114754098,4.794042870402336,248,0.9756147540983606,0.13905152,0.506373405456543,22.295654296875,2.3883578777313232,0.0019842295,0.8,35.34,0.9756147540983606,0.0284881591796875,,,
37254,2097152,56,918,64,-0.2500462266616523,-0.0007910212698334362,0.000180265728,0.789760348583878,4.864208519458771,252,0.9738562091503268,0.13806848,0.5165666341781616,21.594388961791992,2.392334222793579,0.0017296392,0.75,36.61,0.9738562091503268,0.03488922119140625,,,
37266,2129920,57,913,65,-0.2461031242273748,-0.0009666746627772227,0.00017836518400000001,0.8192771084337349,5.131673842668533,256,0.975013691128149,0.13708544,0.4931120276451111,22.885366439819336,2.465526580810547,0.0012302643,0.84,35.63,0.975013691128149,0.02147674560546875,,,
37283,2162688,58,903,66,-0.24242917215451598,-0.0009832765281316824,0.00017646464000000003,0.8250276854928018,4.683474242687225,260,0.9764673311184939,0.1361024,0.49195629358291626,23.005565643310547,2.35469126701355,0.0016122356,0.85,35.43,0.9764673311184939,0.02951812744140625,,,
37279,2195456,58,948,67,-0.24398114625364542,-0.0008061235639615916,0.000174564096,0.8069620253164557,4.485879555344582,264,0.9757383966244726,0.13511936,0.4999684691429138,22.075204849243164,2.2757976055145264,0.002458454,0.78,35.79,0.9757383966244726,0.03501129150390625,,,
37305,2228224,59,916,68,-0.23932506889104843,-0.001642452974920161,0.000172663552,0.7729257641921398,4.967893838882446,268,0.9677265283842795,0.13413632,0.4988722801208496,21.875465393066406,2.4825098514556885,0.0015072661,0.76,35.53,0.9677265283842795,0.02912139892578125,,,
37318,2260992,60,895,69,-0.2397270267829299,-0.00022451301629189402,0.000170763008,0.8111731843575419,5.571376875042915,272,0.9754189944134078,0.13315328,0.4854944348335266,22.364015579223633,3.040872573852539,0.0022479605,0.8,36.98,0.9754189944134078,0.0369415283203125,,,
,2293760,,,,-0.2375413873232901,-0.0006810268896515481,0.000168862464,,4.657902434468269,276,,0.13217024,0.5184721946716309,,2.2462902069091797,0.0017703219,,,,0.0402374267578125,22.727724075317383,0.83,33.27
37172,2293760,61,924,70,,,,0.803030303030303,,,0.9744994588744589,,,22.38507652282715,,,0.8,35.92,0.9744994588744589,,,,
37195,2326528,62,932,71,-0.23697827570140362,-0.0006636827856709715,0.00016696191999999999,0.8111587982832618,4.841425865888596,280,0.974651287553648,0.1311872,0.5074849128723145,22.116426467895508,2.551248550415039,0.001666524,0.78,34.57,0.974651287553648,0.0321807861328125,,,
37205,2359296,63,926,72,-0.2346678664907813,-0.0010689891205402091,0.000165061376,0.82829373650108,4.7952283918857574,284,0.9766468682505399,0.13020416,0.5116617679595947,22.87514877319336,2.294288158416748,0.0013954106,0.84,35.85,0.9766468682505399,0.0264892578125,,,
37237,2392064,64,912,73,-0.23228108696639538,-0.0009662099037086591,0.000163160832,0.8300438596491229,4.52078552544117,288,0.9780016447368421,0.12922112000000002,0.5193164944648743,22.994680404663086,2.196552276611328,0.0015645323,0.85,36.32,0.9780016447368421,0.02384185791015625,,,
37239,2424832,65,901,74,-0.22937063639983535,-0.0009072166940313764,0.00016126028799999997,0.8224195338512763,4.446238562464714,292,0.9768312985571587,0.12823807999999998,0.5307595729827881,21.946178436279297,2.2776031494140625,0.0018997863,0.76,34.82,0.9768312985571587,0.0390625,,,
37240,2457600,65,926,75,-0.23144899820908904,-0.0008495838956150692,0.00015935974399999999,0.8272138228941684,4.529730349779129,296,0.9765118790496761,0.12725503999999999,0.5314995050430298,22.64508628845215,2.422177314758301,0.0015912973,0.83,35.91,0.9765118790496761,0.02880096435546875,,,
37260,2490368,66,943,76,-0.22922447184100747,-0.0009519735940557439,0.00015745920000000003,0.8101802757158006,4.464266926050186,300,0.9744167550371156,0.126272,0.533866286277771,21.945802688598633,2.1568589210510254,0.0017249548,0.77,35.19,0.9744167550371156,0.0299530029296875,,,
